long;lat;year;c4_biomass;c3_biomass;dead_grass_biomass;savanna_tree_cover;forest_tree_cover;tree_leaf_biomass;tree_stem_biomass;trees_per_ha
31.75;-24.75;1981;2.45646;1.67122;0.199646;0.0405912;0.378905;1.77936;18.2467;2056
31.25;-21.75;1981;1.28343;0.894489;0.27364;0.0282373;0.295611;1.27331;12.2074;1748
31.75;-23.25;1981;0.515006;0.333527;0.229922;0.208724;0.089267;2.05626;6.76093;4781
31.75;-24.25;1981;2.1469;1.33334;0.629502;0.343734;0.00132967;1.90058;7.76507;5237
30.75;-24.25;1981;3.46725;2.19998;0.30943;0.156061;0.0667444;1.41215;8.26945;3459
32.25;-23.75;1981;1.06268;0.710655;0.326336;0.204734;0.0875958;1.91722;5.95346;4535
30.75;-21.75;1981;2.24041;1.15904;0.37578;0.205812;0.00258968;1.18361;4.33111;6529
30.75;-23.25;1981;2.16145;1.13432;0.476997;0.138242;0.465316;2.01334;17.6729;4098
32.25;-24.75;1981;1.08327;0.776478;0.132939;0.0118202;0.982426;2.83554;47.695;2899
30.75;-22.25;1981;1.48356;0.831599;0.354829;0.282601;0.0530676;1.40703;6.80791;5181
31.75;-22.25;1981;1.85072;1.03345;0.428953;0.260283;0.0567295;1.52485;8.12779;4614
31.25;-23.25;1981;0.954199;0.625125;0.342347;0.22071;0.16728;1.47479;11.6013;4497
31.75;-23.75;1981;3.30671;1.72167;0.40139;0.116933;0.133041;1.78997;7.41833;2757
32.25;-25.25;1981;0.677874;0.51512;0.296606;0.0371198;0.429001;2.96755;24.762;1869
31.75;-21.75;1981;1.64106;1.14137;0.294212;0.0400088;0.959991;3.33755;42.2114;3586
32.25;-22.25;1981;1.85796;0.989032;0.500451;0.124355;0.464128;2.42585;18.2893;3482
31.75;-22.75;1981;1.34439;0.718096;0.359144;0.206696;0.0515565;1.4077;5.82193;5107
31.25;-25.25;1982;1.5814;1.12635;0.409883;0.330726;0.387047;2.24222;19.534;4461
32.25;-24.25;1982;2.62551;1.53869;0.550965;0.0515779;0.545855;1.73889;18.287;3508
31.25;-24.25;1982;2.1645;1.35387;0.463459;0.0311745;0.86947;2.39964;40.3906;2133
31.25;-22.75;1982;3.64797;1.78513;0.869261;0.206117;0.0420143;1.63741;4.79039;4708
31.75;-25.25;1982;1.23309;1.04372;0.330887;0.0284598;0.638106;2.66208;33.4572;2200
31.25;-23.75;1982;3.73102;1.91153;1.05;0.0897932;0.213335;1.21725;7.96889;3281
30.75;-25.25;1982;3.75776;2.59919;0.264081;0.230873;0.00455966;0.914002;4.79323;4170
30.75;-23.75;1982;3.65835;2.10783;1.06064;0.0984514;0.264243;1.5918;13.8028;3580
30.75;-24.75;1982;3.40497;2.52538;1.02439;0.131432;0.00227555;0.70526;2.71234;3115
31.25;-24.75;1982;1.96162;1.48459;0.534328;0.29721;0.258038;1.57566;13.8231;3742
32.25;-23.25;1982;2.2973;1.16369;0.636036;0.290815;0.321637;1.51211;13.174;5091
32.25;-22.75;1982;3.19008;1.84836;0.932828;0.37656;0.0163237;1.7511;8.27544;5881
31.25;-22.25;1982;2.94564;1.34318;0.318266;0.20154;0.00992225;1.55073;5.6614;5581
32.25;-21.75;1982;2.5567;1.5627;0.809569;0.037232;0.448763;2.02773;20.2182;2020
30.75;-22.75;1982;4.4166;2.34332;1.06867;0.0473736;0.47885;2.14005;26.7008;1609
31.75;-24.75;1982;2.78338;1.4592;0.405876;0.0407125;0.362569;1.77936;18.2467;1753
31.25;-21.75;1982;2.3326;1.61271;0.346085;0.027727;0.275994;1.27331;12.2074;1775
31.75;-23.25;1982;2.62512;1.37222;0.679002;0.215144;0.0901106;2.05626;6.76093;4532
31.75;-24.25;1982;2.33427;1.29217;0.562418;0.342076;0.00125659;1.90058;7.84809;4998
30.75;-24.25;1982;3.58397;1.91008;1.04602;0.166716;0.0628317;1.65578;8.26945;3423
32.25;-23.75;1982;2.95257;1.59831;0.739324;0.215285;0.0911294;1.91722;6.23423;4385
30.75;-21.75;1982;2.97896;1.4083;0.727814;0.195637;0.00227166;1.18361;4.33111;6800
30.75;-23.25;1982;3.0351;1.68689;0.705155;0.133347;0.444534;2.01334;17.6729;4356
32.25;-24.75;1982;2.19845;1.40303;0.388481;0.0116619;0.982303;2.83554;47.695;2745
30.75;-22.25;1982;3.16649;1.44422;0.784282;0.277508;0.051444;1.40703;6.80791;5318
31.75;-22.25;1982;2.44152;1.24182;0.707599;0.272073;0.0587858;1.50868;8.12779;4351
31.25;-23.25;1982;2.59395;1.41013;0.266847;0.222803;0.17027;1.47479;11.799;4234
31.75;-23.75;1982;3.51943;1.79772;0.865756;0.113294;0.122552;1.78997;7.07051;2739
32.25;-25.25;1982;1.54675;1.05025;0.460831;0.0378659;0.427271;2.96755;24.762;1844
31.75;-21.75;1982;2.78124;1.57426;0.564061;0.0398552;0.960145;3.33755;42.2114;3288
32.25;-22.25;1982;3.56757;1.82715;1.09846;0.123702;0.454326;2.42585;18.2893;3133
31.75;-22.75;1982;2.85526;1.34716;0.384662;0.20671;0.0500051;1.4077;5.82193;4762
31.25;-25.25;1983;2.28966;1.42052;0.446696;0.335161;0.40196;2.24222;20.3135;4314
32.25;-24.25;1983;1.43713;1.01225;0.401343;0.0524802;0.571998;1.73889;18.6855;3556
31.25;-24.25;1983;2.05511;1.25193;0.435743;0.0311703;0.855975;2.2799;40.3804;1915
31.25;-22.75;1983;3.11547;1.56576;0.284445;0.206335;0.0392783;1.63741;5.03178;4733
31.75;-25.25;1983;1.59038;1.25212;0.415565;0.0285897;0.632534;2.66208;33.4572;1990
31.25;-23.75;1983;3.41142;2.06853;0.921652;0.0920342;0.209173;1.28791;7.96889;3346
30.75;-25.25;1983;4.21909;2.88388;1.02471;0.213062;0.00443618;0.914002;4.79323;4186
30.75;-23.75;1983;2.70146;1.77347;0.786427;0.102415;0.267714;1.5918;13.8028;3533
30.75;-24.75;1983;4.32922;3.16067;1.32152;0.142328;0.0025185;0.70526;2.966;3112
31.25;-24.75;1983;2.41559;1.66206;0.610984;0.302638;0.270745;1.57566;14.037;3520
32.25;-23.25;1983;3.04204;1.91595;0.712961;0.294306;0.332376;1.51211;13.3577;4910
32.25;-22.75;1983;3.32526;2.09256;0.850378;0.39045;0.0160399;1.7511;8.66399;5765
