year;type;count;calfCount;lat;lon
1989;OB;1;0;-23.166599973333927;31.204098912168657
1989;OB;1;0;-23.17289996016104;31.2040988454256
1989;OB;2;0;-23.191599970267173;31.218698906925084
1989;OB;2;0;-23.218700027656094;31.214498952014964
1989;OB;1;0;-23.12289996230214;31.285398986106067
1989;OB;3;0;-23.1144999943862;31.310399061646088
1989;OB;1;0;-23.16869996812027;31.29989907702965
1989;OB;2;0;-23.101999968749656;31.379099149694934
1989;OB;1;0;-23.085399999500403;31.389499171268547
1989;OB;1;0;-23.068700013216077;31.391599155031194
1989;OB;2;0;-23.0854000336165;31.429099215608208
1989;OB;4;0;-23.093699996151905;31.422899194380058
1989;OB;6;0;-23.097900018930957;31.4394992063695
1989;OB;1;0;-23.110400017519208;31.456199227161168
1989;OB;1;0;-23.174999995432835;31.54369938754877
1989;OB;1;0;-23.20410002794989;31.541599365745512
1989;OB;2;0;-23.189500011142695;30.968698392481286
1989;OB;3;0;-23.177000009497117;30.979098455102704
1989;OB;3;0;-23.189500014040018;30.991598443975775
1989;OB;1;0;-23.193700007576204;30.993698466511802
1989;OB;1;0;-23.26039992727981;31.001998486739225
1989;OB;1;0;-23.26249997141087;31.001998444237724
1989;OB;3;0;-23.264499959218192;31.010398552743567
1989;OB;1;0;-23.24369999215927;31.06239859916594
1989;OB;2;0;-23.29579995691625;31.03119854752332
1989;OB;1;0;-23.31040001157886;31.05619858268754
1989;OB;1;0;-23.291599991707777;31.376999161847653
1989;OB;4;0;-23.106199990643265;31.387399163194413
1989;OB;1;0;-23.10409996503427;31.395799170602956
1989;OB;2;0;-23.12700000728989;31.44989922845044
1989;OB;5;0;-23.152000032733895;31.454099270820016
1989;OB;14;0;-23.156199985275393;31.456199252009633
1989;OB;1;0;-23.172900018509388;31.44789924320592
1989;OB;1;0;-23.20199997711106;31.456199269331915
1989;OB;6;0;-23.25830002674953;31.433299198602093
1989;OB;2;0;-23.260399988486213;31.45409932091605
1989;OB;3;0;-23.270799978226954;31.45829929635687
1989;OB;3;0;-23.262499960995612;31.46449932812059
1989;OB;3;0;-23.20410004666485;31.481199265945367
1989;OB;6;0;-23.189500036719856;31.506199315148898
1989;OB;4;0;-23.256200052245447;31.549899345713087
1989;OB;3;0;-23.262500025992846;31.547899408196383
1989;OB;2;0;-23.270800005116868;31.543699425053088
