year,type,count,calfCount,utmX,utmY
1989,BB,3.00,0.00,288586.53,7440692.13
1989,OB,1.00,0.00,289019.65,7439767.76
1989,OB,5.00,0.00,290293.40,7440250.96
1989,BB,6.00,0.00,290322.51,7438179.92
1989,OB,2.00,0.00,289919.01,7437011.12
1989,OB,2.00,0.00,291599.56,7438419.36
1989,OB,1.00,0.00,292058.58,7436354.34
1989,OB,2.00,0.00,294390.82,7437306.09
1989,OB,3.00,0.00,292469.38,7437744.71
1989,OB,12.00,0.00,293938.38,7438917.10
1989,OB,6.00,0.00,291785.58,7440504.47
1989,OB,3.00,0.00,293274.57,7440990.40
1989,OB,2.00,0.00,294121.68,7441223.65
1989,OB,2.00,0.00,294327.17,7441924.33
1989,OB,2.00,0.00,294535.89,7442392.43
1989,OB,2.00,0.00,295167.97,7442622.65
1989,OB,3.00,0.00,293890.53,7442383.54
1989,OB,1.00,0.00,294314.52,7442843.54
1989,OB,3.00,0.00,292610.04,7442365.82
1989,OB,8.00,0.00,292815.64,7443055.45
1989,OB,7.00,0.00,290903.18,7442796.20
1989,OB,4.00,0.00,291102.22,7443951.01
1989,OB,2.00,0.00,289616.09,7443243.38
1989,BB,6.00,0.00,298012.73,7437588.22
1989,OB,1.00,0.00,298212.19,7438742.91
1989,BB,4.00,0.00,299308.28,7436453.74
1989,BB,3.00,0.00,299317.68,7435756.03
1989,BB,3.00,0.00,300174.64,7436000.16
1989,BB,1.00,0.00,300283.70,7443157.12
1989,OB,1.00,0.00,300103.56,7441304.92
1989,BB,2.00,0.00,301819.16,7440175.83
1989,E,1.00,0.00,302046.43,7439259.49
1989,BB,7.00,0.00,304850.41,7453606.93
1989,BB,3.00,0.00,301236.92,7452396.50
1989,BB,3.00,0.00,312831.66,7447472.94
1989,OB,4.00,0.00,309686.10,7442593.09
1989,OB,2.00,0.00,311434.62,7439613.70
1989,BB,5.00,0.00,313776.92,7439875.70
1989,BB,2.00,0.00,313355.52,7439172.66
1989,OB,1.00,0.00,313611.00,7435941.72
1989,OB,1.00,0.00,316159.14,7436903.74
1989,OB,1.00,0.00,316167.74,7436206.08
1989,BB,15.00,0.00,317240.97,7435532.59
1989,OB,2.00,0.00,317687.92,7434153.62
1989,OB,2.00,0.00,317294.83,7431147.29
1989,BB,7.00,0.00,318780.77,7431852.17
1989,BB,4.00,0.00,320464.96,7433954.79
1989,BB,9.00,0.00,321568.26,7448731.42
1989,BB,3.00,0.00,322672.11,7445521.66
1989,BB,4.00,0.00,327364.11,7445576.54
1989,BB,9.00,0.00,328229.99,7445121.36
1989,BB,7.00,0.00,329497.38,7446287.64
1989,OB,1.00,0.00,324426.40,7441843.27
1989,OB,3.00,0.00,326976.13,7442803.32
1989,BB,1.00,0.00,322972.05,7438370.63
1989,OB,1.00,0.00,325970.67,7436788.96
1989,BB,1.00,0.00,333393.12,7441491.92
1989,OB,2.00,0.00,333997.33,7444267.30
1989,OB,1.00,0.00,335042.36,7446117.23
1989,OB,1.00,0.00,335237.14,7447968.81
1989,BB,8.00,0.00,343931.71,7453366.38
1989,BB,2.00,0.00,341855.84,7448040.17
1989,OB,2.00,0.00,339099.16,7446161.40
1989,OB,4.00,0.00,338473.93,7445235.50
1989,OB,6.00,0.00,340179.36,7444788.70
1989,OB,1.00,0.00,341904.64,7443422.77
1989,OB,1.00,0.00,350938.08,7436361.95
1989,BB,3.00,0.00,351159.92,7435677.59
1989,OB,1.00,0.00,350755.40,7433137.63
1989,BB,2.00,0.00,290152.99,7434942.96
1989,OB,2.00,0.00,292090.74,7434050.72
1989,OB,3.00,0.00,293136.29,7435449.93
1989,OB,3.00,0.00,294435.29,7434083.28
1989,OB,1.00,0.00,294656.71,7433621.10
1989,OB,1.00,0.00,295608.08,7426245.81
1989,OB,1.00,0.00,295611.28,7426013.23
1989,OB,3.00,0.00,296473.86,7425803.55
1989,BB,3.00,0.00,297310.58,7426734.40
1989,BB,8.00,0.00,302000.33,7426565.10
1989,OB,1.00,0.00,301763.85,7428179.14
1989,OB,2.00,0.00,298649.27,7422366.16
1989,OB,1.00,0.00,301228.43,7420783.78
1989,BB,5.00,0.00,309800.97,7433589.74
1989,BB,3.00,0.00,315618.75,7429276.94
1989,BB,4.00,0.00,315618.75,7429276.94
1989,BB,3.00,0.00,310956.66,7426449.32
1989,BB,4.00,0.00,310160.59,7422285.58
1989,BB,8.00,0.00,311886.45,7420923.08
1989,BB,3.00,0.00,313569.83,7422096.29
1989,BB,2.00,0.00,319456.40,7429324.08
1989,BB,1.00,0.00,330672.75,7436610.55
1989,BB,4.00,0.00,327784.76,7427806.00
1989,BB,22.00,0.00,327575.16,7427349.49
1989,BB,3.00,0.00,327583.27,7426651.85
1989,BB,5.00,0.00,327591.25,7425965.28
1989,BB,2.00,0.00,328490.76,7422509.19
1989,BB,12.00,0.00,332743.18,7422790.40
1989,BB,10.00,0.00,333377.25,7423716.76
1989,OB,1.00,0.00,334016.54,7423269.87
1989,OB,4.00,0.00,334852.66,7443811.64
1989,OB,1.00,0.00,335710.51,7444053.66
1989,BB,4.00,0.00,335935.83,7443125.87
1989,BB,4.00,0.00,337226.14,7442220.81
1989,BB,4.00,0.00,336375.90,7441292.34
1989,BB,26.00,0.00,337461.12,7439454.76
1989,OB,2.00,0.00,341278.90,7441577.82
1989,OB,5.00,0.00,341738.39,7438814.14
1989,OB,14.00,0.00,341958.34,7438351.36
1989,OB,1.00,0.00,341128.22,7436493.13
1989,OB,1.00,0.00,342012.14,7433279.92
1989,OB,6.00,0.00,339735.47,7427020.65
1989,OB,2.00,0.00,341866.04,7426810.95
1989,OB,3.00,0.00,342307.98,7425663.92
1989,OB,3.00,0.00,342932.52,7426589.72
1989,BB,5.00,0.00,343086.43,7432361.05
1989,OB,3.00,0.00,344573.41,7433074.33
1989,BB,5.00,0.00,346055.83,7434241.45
1989,BB,2.00,0.00,346690.46,7434248.00
1989,OB,6.00,0.00,347115.59,7434717.48
1989,BB,2.00,0.00,349476.03,7433124.74
1989,BB,1.00,0.00,348642.97,7431499.49
1989,BB,1.00,0.00,345046.58,7428926.46
1989,BB,4.00,0.00,344621.69,7428456.90
1989,BB,3.00,0.00,345256.08,7428463.52
1989,BB,1.00,0.00,345690.65,7428002.93
1989,OB,4.00,0.00,351662.50,7427377.22
1989,OB,3.00,0.00,351464.87,7426677.59
1989,OB,2.00,0.00,351044.42,7425754.24
1989,BB,2.00,0.00,345743.42,7422931.49
1989,BB,7.00,0.00,345748.26,7422466.42
1989,OB,1.00,0.00,347274.78,7419259.66
1989,BB,3.00,0.00,348121.11,7419500.93
1989,BB,19.00,0.00,349394.69,7419967.99
1989,OB,1.00,0.00,349186.95,7419279.28
1989,BB,3.00,0.00,351536.46,7419535.61
1989,OB,5.00,0.00,299570.23,7417072.80
1989,BB,15.00,0.00,299582.70,7416153.58
1989,BB,4.00,0.00,298525.59,7415673.96
1989,BB,4.00,0.00,299389.94,7414533.72
1989,OB,6.00,0.00,299399.42,7413836.00
1989,BB,3.00,0.00,310222.68,7417446.05
1989,BB,10.00,0.00,311298.05,7416529.41
1989,BB,6.00,0.00,312999.76,7417016.25
1989,BB,4.00,0.00,311101.03,7415142.36
1989,BB,2.00,0.00,311324.51,7414458.49
1989,BB,7.00,0.00,311330.46,7413993.37
1989,BB,4.00,0.00,311995.14,7412384.72
1989,BB,3.00,0.00,309894.39,7409588.68
1989,BB,3.00,0.00,313947.40,7409186.32
1989,BB,6.00,0.00,313767.81,7406415.00
1989,BB,3.00,0.00,313143.16,7405709.27
1989,BB,7.00,0.00,314423.29,7405492.88
1989,OB,1.00,0.00,316559.97,7404600.38
1989,BB,2.00,0.00,317043.73,7400220.28
1989,BB,6.00,0.00,317725.73,7396307.83
1989,BB,2.00,0.00,320078.16,7395185.02
1989,OB,1.00,0.00,320157.62,7388728.66
1989,BB,4.00,0.00,322440.42,7394061.98
1989,BB,6.00,0.00,320069.51,7413415.81
1989,BB,1.00,0.00,321581.57,7411817.13
1989,OB,1.00,0.00,324772.71,7412542.08
1989,BB,8.00,0.00,324827.50,7407935.32
1989,BB,9.00,0.00,324626.63,7406781.06
1989,BB,3.00,0.00,325892.98,7407715.37
1989,BB,5.00,0.00,324431.36,7405161.70
1989,BB,4.00,0.00,324439.70,7404464.03
1989,BB,4.00,0.00,325510.34,7403790.10
1989,OB,3.00,0.00,330610.23,7404536.45
1989,OB,1.00,0.00,327118.88,7393885.42
1989,OB,1.00,0.00,332162.43,7399249.23
1989,BB,6.00,0.00,332800.89,7398791.36
1989,OB,2.00,0.00,333862.60,7399733.75
1989,BB,8.00,0.00,334506.28,7398810.71
1989,BB,2.00,0.00,334948.15,7397663.88
1989,BB,17.00,0.00,335989.40,7399525.11
1989,BB,1.00,0.00,333256.01,7396492.90
1989,OB,1.00,0.00,336457.01,7396063.84
1989,BB,12.00,0.00,336733.31,7389610.14
1989,BB,1.00,0.00,338220.71,7389859.27
1989,BB,10.00,0.00,348576.68,7416958.54
1989,BB,4.00,0.00,351550.36,7418151.49
1989,OB,3.00,0.00,340237.89,7400491.22
1989,OB,3.00,0.00,344727.70,7398003.35
1989,OB,6.00,0.00,345385.60,7396625.98
1989,OB,1.00,0.00,340078.78,7395417.20
1989,OB,1.00,0.00,341798.42,7393132.33
1989,OB,1.00,0.00,341606.86,7391967.39
