FID;SP;NO;LAT;LONG;NAME
15,030;kp;2;-24.750000000000000;31.737500000000001;Vutome
15,031;kp;5;-24.750000000000000;31.737500000000001;Vutome
15,032;r;1;-24.714600000000001;31.737500000000001;Vutome
15,033;r;3;-24.714600000000001;31.737500000000001;Vutome
15,034;r;25;-24.714600000000001;31.731200000000001;Vutome
15,035;r;10;-24.720800000000001;31.725000000000001;Vutome
15,036;r;20;-24.750000000000000;31.725000000000001;Vutome
15,037;k;2;-24.750000000000000;31.731200000000001;Vutome
15,038;r;6;-24.704200000000000;31.731200000000001;Vutome
15,039;k;5;-24.720800000000001;31.718699999999998;Vutome
15,040;k;4;-24.720800000000001;31.712499999999999;Vutome
15,041;w;1;-24.720800000000001;31.712499999999999;Vutome
15,042;kp;2;-24.720800000000001;31.706199999999999;Vutome
15,043;r;15;-24.714600000000001;31.699999999999999;Vutome
15,044;ja;2;-24.750000000000000;31.706199999999999;Vutome
15,045;r;9;-24.720800000000001;31.699999999999999;Vutome
15,046;kp;1;-24.720800000000001;31.699999999999999;Vutome
15,047;wr;1;-24.714600000000001;31.693700000000000;Vutome
15,048;st;1;-24.714600000000001;31.687500000000000;Vutome
15,049;wb;1;-24.727100000000000;31.693700000000000;Vutome
15,050;ko;5;-24.720800000000001;31.687500000000000;Vutome
15,051;r;4;-24.727100000000000;31.687500000000000;Vutome
15,052;d;1;-24.727100000000000;31.687500000000000;Vutome
15,053;ob;1;-24.727100000000000;31.679200000000002;Vutome
15,054;r;20;-24.731300000000001;31.687500000000000;Vutome
15,055;r;9;-24.727100000000000;31.679200000000002;Vutome
15,056;wb;9;-24.731300000000001;31.672899999999998;Ripape
15,057;sb;1;-24.731300000000001;31.679200000000002;Vutome
15,058;kp;2;-24.727100000000000;31.706199999999999;Vutome
15,059;lp;1;-24.727100000000000;31.712499999999999;Vutome
15,060;k;5;-24.727100000000000;31.718699999999998;Vutome
15,061;w;1;-24.727100000000000;31.718699999999998;Vutome
15,062;r;1;-24.727100000000000;31.725000000000001;Vutome
15,063;w;4;-24.727100000000000;31.725000000000001;Vutome
15,064;r;50;-24.720800000000001;31.737500000000001;Vutome
15,065;w;1;-24.727100000000000;31.737500000000001;Vutome
15,066;r;30;-24.731300000000001;31.737500000000001;Vutome
15,067;r;20;-24.731300000000001;31.731200000000001;Vutome
15,068;ba;1;-24.731300000000001;31.725000000000001;Vutome
15,069;wl;1;-24.727100000000000;31.725000000000001;Vutome
15,070;r;40;-24.731300000000001;31.725000000000001;Vutome
15,071;k;2;-24.731300000000001;31.718699999999998;Vutome
15,072;w;4;-24.731300000000001;31.718699999999998;Vutome
15,073;k;5;-24.731300000000001;31.712499999999999;Vutome
15,074;w;1;-24.737500000000001;31.706199999999999;Vutome
15,075;kp;3;-24.731300000000001;31.706199999999999;Vutome
15,076;kk;1;-24.731300000000001;31.706199999999999;Vutome
15,077;r;1;-24.737500000000001;31.706199999999999;Vutome
15,078;w;6;-24.731300000000001;31.699999999999999;Vutome
15,079;r;50;-24.731300000000001;31.699999999999999;Vutome
15,080;r;30;-24.737500000000001;31.699999999999999;Vutome
15,081;kp;1;-24.731300000000001;31.693700000000000;Vutome
15,082;r;1;-24.737500000000001;31.693700000000000;Vutome
15,083;w;7;-24.737500000000001;31.693700000000000;Vutome
15,084;k;2;-24.737500000000001;31.693700000000000;Vutome
15,085;r;45;-24.731300000000001;31.687500000000000;Vutome
15,086;o;7;-24.737500000000001;31.687500000000000;Vutome
15,087;k;6;-24.737500000000001;31.687500000000000;Vutome
15,088;kp;3;-24.743800000000000;31.693700000000000;Vutome
15,089;kp;2;-24.743800000000000;31.699999999999999;Vutome
15,090;kp;1;-24.743800000000000;31.699999999999999;Vutome
15,091;o;19;-24.743800000000000;31.699999999999999;Vutome
15,092;o;14;-24.743800000000000;31.706199999999999;Vutome
15,093;k;13;-24.743800000000000;31.712499999999999;Vutome
15,094;r;20;-24.743800000000000;31.706199999999999;Vutome
