ID;Date;Time;Latitude;Longitude;HasLeaves;DeadwoodMass;LivingWoodMass;WoodMass
3b4658c9-683d-43f1-8625-89c774d65105;2018:01:01;01:00:00;31,76481;-24,04613;FALSE; 0,01802289;1,802289; 1,820312
47619dae-af2a-4b33-b4d1-213f88aa5fb0;2018:01:01;01:00:00;31,66298;-24,28965;FALSE; 0,01594573;1,594573; 1,610519
b94856c4-fb1e-4c17-a1b6-54075140291f;2018:01:01;01:00:00;31,67816;-24,17758;FALSE; 0,01628646;1,628646; 1,644932
bfcac5a7-d3c3-476b-95a1-a9280e3d3c7f;2018:01:01;01:00:00;31,81039;-24,02376;FALSE; 0,00000000;0,000000; 0,000000
d9ee421a-95bc-45ad-8ebe-d5ef6ed78dac;2018:01:01;01:00:00;31,77553;-24,05383;FALSE; 0,00000000;0,000000; 0,000000
1412ecf3-0b58-41d5-92ab-b463fd2dd49b;2018:01:01;01:00:00;31,70416;-24,12058;FALSE; 0,00000000;0,000000; 0,000000
b521c479-bead-4b3e-93d5-b8e98591ab9e;2018:01:01;01:00:00;31,70675;-24,04785;FALSE; 0,00000000;0,000000; 0,000000
e11f3e9c-627a-48f8-b88a-a12378879864;2018:01:01;01:00:00;31,66964;-24,26536;FALSE; 0,00000000;0,000000; 0,000000
95296d8e-a76b-4913-ba86-09addf7bf665;2018:01:01;01:00:00;31,76304;-23,98783;FALSE; 0,01590358;1,590358; 1,606262
fd487e8c-e352-4773-a3c4-b514486e3711;2018:01:01;01:00:00;31,67929;-24,16520;FALSE; 0,01565931;1,565931; 1,581591
9cfe6a13-68db-4dc0-bc02-d590853cc7f3;2018:01:01;01:00:00;31,67723;-24,04881;FALSE; 0,01687072;1,687072; 1,703943
b7c75fd7-faf7-472b-8a38-cb2b3293ccb9;2018:01:01;01:00:00;31,67569;-24,27732;FALSE; 0,01808832;1,808832; 1,826920
95f94b2f-28c2-42d6-bae5-20875a9fdc4f;2018:01:01;01:00:00;31,77912;-24,07782;FALSE; 0,01585106;1,585106; 1,600957
6ce358ef-cd8d-4595-9e8c-7a4250ddb3ab;2018:01:01;01:00:00;31,66972;-24,14301;FALSE; 0,01393685;1,393685; 1,407622
b7a04adb-d6f2-4a01-b180-32c4ebdd6cd8;2018:01:01;01:00:00;31,70222;-24,06807;FALSE; 0,00000000;0,000000; 0,000000
60e08150-2149-4cf8-9aa4-d1acfe0beab7;2018:01:01;01:00:00;31,65831;-24,15598;FALSE; 0,01737091;1,737091; 1,754462
2064a350-1793-4b59-b7e8-86ce7555b266;2018:01:01;01:00:00;31,68272;-24,05001;FALSE; 0,01702208;1,702208; 1,719231
aecb519c-03aa-4a49-a602-ec9b680923e7;2018:01:01;01:00:00;31,68541;-24,10113;FALSE; 0,01437808;1,437808; 1,452186
7e9c0105-bb49-48ae-8356-9f9323a302e7;2018:01:01;01:00:00;31,68640;-24,14963;FALSE; 0,01774741;1,774741; 1,792488
836819cd-7cd1-4659-a28b-4246aa604d0b;2018:01:01;01:00:00;31,72045;-24,14865;FALSE; 0,00000000;0,000000; 0,000000
53d3ae2b-2a62-44c4-a817-2ba1e9d7141a;2018:01:01;01:00:00;31,77476;-24,02058;FALSE; 0,00000000;0,000000; 0,000000
72ff11be-3ea1-4f51-b57e-efc2b311ff8f;2018:01:01;01:00:00;31,71118;-24,06399;FALSE; 0,01694273;1,694273; 1,711215
e052424a-3efd-49d6-b107-e4c237aeb605;2018:01:01;01:00:00;31,69751;-24,11512;FALSE; 0,01612172;1,612172; 1,628294
b1371f9f-5068-457d-8d4d-3a0660a17b35;2018:01:01;01:00:00;31,68889;-24,05328;FALSE; 0,01696472;1,696472; 1,713437
52d9f5f0-b70c-4c87-baab-8af22c822c28;2018:01:01;01:00:00;31,70594;-24,12763;FALSE; 0,00000000;0,000000; 0,000000
f2d5db78-3b9a-4a6d-acd0-2dd802a1192b;2018:01:01;01:00:00;31,73590;-24,08964;FALSE; 0,01525135;1,525135; 1,540386
a7614af6-a5ff-464c-a699-b7e4e5bce327;2018:01:01;01:00:00;31,70012;-24,02067;FALSE; 0,01643181;1,643181; 1,659612
12bfc9b0-6b90-458c-8fe2-7f0aaf6ff9d0;2018:01:01;01:00:00;31,83337;-24,04849;FALSE; 0,01774169;1,774169; 1,791910
a728dfbb-ca4b-423b-9993-b31f6b5a17bd;2018:01:01;01:00:00;31,70108;-24,15335;FALSE; 0,00000000;0,000000; 0,000000
c3a3eade-1357-4b09-8b3f-fc2201feb2e1;2018:01:01;01:00:00;31,76940;-23,99414;FALSE; 0,01678556;1,678556; 1,695342
2a7ae0c6-983c-44f7-b193-bcaa1086cb02;2018:01:01;01:00:00;31,80597;-24,04522;FALSE; 0,00000000;0,000000; 0,000000
5eb0dd0f-a9f1-416e-b9bd-f6003ea8593a;2018:01:01;01:00:00;31,76424;-24,06294;FALSE; 0,01436955;1,436955; 1,451324
b2f74878-4aa2-4370-bf28-1b07704fad17;2018:01:01;01:00:00;31,67929;-24,06583;FALSE; 0,01648538;1,648538; 1,665023
7c5b5021-da99-4e97-9077-81b89156ef10;2018:01:01;01:00:00;31,64464;-24,23873;FALSE; 0,00000000;0,000000; 0,000000
7895992b-50f0-4af3-8704-6d4a47ab095a;2018:01:01;01:00:00;31,72455;-24,05165;FALSE; 0,01596448;1,596448; 1,612412
0096a9e5-8d0f-470b-9860-be1178d116d7;2018:01:01;01:00:00;31,67544;-24,17093;FALSE; 0,00000000;0,000000; 0,000000
26ddb1af-863c-4bae-a88a-0a1807aa510e;2018:01:01;01:00:00;31,69622;-24,09547;FALSE; 0,01792984;1,792984; 1,810914
7118567b-bb33-4bed-a9dc-8ff1ce44cb89;2018:01:01;01:00:00;31,76466;-24,04300;FALSE; 0,00000000;0,000000; 0,000000
258270d1-b3c6-4256-92af-5634b9916285;2018:01:01;01:00:00;31,64946;-24,25811;FALSE; 0,01730366;1,730366; 1,747670
dbdc1e70-e3d2-4a43-8934-f1b2cab44731;2018:01:01;01:00:00;31,75640;-24,01600;FALSE; 0,01811557;1,811557; 1,829672
a16d1096-b58c-41d4-a45e-a70a89847446;2018:01:01;01:00:00;31,66533;-24,21355;FALSE; 0,01621184;1,621184; 1,637396
3ad0734a-3942-410e-82ef-eed2dc79a141;2018:01:01;01:00:00;31,70376;-24,03661;FALSE; 0,01509249;1,509249; 1,524341
f2d5db78-3b9a-4a6d-acd0-2dd802a1192b;2018:01:01;02:00:00;31,73590;-24,08964;FALSE; 0,03050270;1,525135; 1,555638
a7614af6-a5ff-464c-a699-b7e4e5bce327;2018:01:01;02:00:00;31,70012;-24,02067;FALSE; 0,03286361;1,643181; 1,676044
12bfc9b0-6b90-458c-8fe2-7f0aaf6ff9d0;2018:01:01;02:00:00;31,83337;-24,04849;FALSE; 0,03548337;1,774169; 1,809652
